date,description,merchant,amount,category
2025-01-01,Monthly Rent,Landlord,1500,Rent
2025-01-02,Supermarket visit,Walmart,65.23,Groceries
2025-01-03,Electricity Bill,PowerGrid,82.45,Utilities
2025-01-04,Movie night,AMC Theatres,28.50,Entertainment
2025-01-05,Uber ride,Uber,12.75,Transport
2025-01-06,Lunch with family,McDonalds,32.10,Dining
2025-01-07,Online shopping,Amazon,120.99,Shopping
2025-01-08,Groceries,Walmart,72.40,Groceries
2025-01-09,Doctor Visit,City Clinic,95.00,Healthcare
2025-01-10,Gas refill,Shell,40.50,Transport
2025-01-11,WiFi Bill,Comcast,55.00,Utilities
2025-01-12,Dining out,KFC,25.30,Dining
2025-01-13,Entertainment Subscription,Netflix,15.49,Entertainment
2025-01-14,Groceries,Walmart,68.12,Groceries
2025-01-15,Clothes shopping,Zara,89.90,Shopping
2025-01-16,Car service,AutoCare,220.00,Transport
2025-01-17,Emergency Treatment,City Hospital,450.00,Healthcare
2025-01-18,Snacks,7-Eleven,12.80,Groceries
2025-01-19,Lunch,Dominos,18.25,Dining
2025-01-20,Uber ride,Uber,10.40,Transport
2025-01-21,Electricity Bill,PowerGrid,84.10,Utilities
2025-01-22,Groceries,Walmart,70.55,Groceries
2025-01-23,Movie Night,AMC,26.00,Entertainment
2025-01-24,Online shopping,Amazon,135.00,Shopping
2025-01-25,Healthcare medicine,CVS Pharmacy,34.99,Healthcare
2025-01-26,Dining out,Burger King,21.40,Dining
2025-01-27,Gas refill,Shell,43.20,Transport
2025-01-28,Groceries,Walmart,66.33,Groceries
2025-01-29,Clothes shopping,H&M,75.25,Shopping
2025-01-30,Lunch,Dominos,17.80,Dining
2025-01-31,Electricity Bill,PowerGrid,85.00,Utilities

2025-02-01,Monthly Rent,Landlord,1500,Rent
2025-02-02,Groceries,Walmart,61.10,Groceries
2025-02-03,Electricity Bill,PowerGrid,82.75,Utilities
2025-02-04,Movie Night,AMC,29.00,Entertainment
